Name;LO;Tune;Mode;SrateOut;LoCut;HiCut
67.13(Украинское-радио);67000000;67130000;FM;96000;15;20003
67.90(Радио-проминь);67800000;67900000;FM;192000;15;20479,09375
69.20;69000000;69200000;FM;192000;15;20751,240234375
88.00(Руское-Радио_Украина);87900000;88000000;FM;192000;50;19595
89.30(Радио-Рокс);89000000;89300000;FM;192000;50;19595
90.00(Радио-Релакс);89900000;90000000;FM;192000;50;19595
90.40(Ретро-FM);90000000;90400000;FM;192000;50;19595
91.20(М-FM);91000000;91200000;FM;192000;50;19595
100.50(Радио-Вести);100000000;100500000;FM;192000;50;19595
101.10(Европа-Плац);101000000;101100000;FM;192000;50;19595
101.50(Стильное);101000000;101500004;FM;192000;50;19595
102.00(Хит-FM);102000000;102000000;FM;192000;50;19595
102.40(Кис-FM);102000000;102400000;FM;192000;50;19595
103.00(Радио-Пятница);103000000;103000000;FM;192000;50;19595
103.50(Радио-Шансон);104000000;103500000;FM;192000;50;19595
104.00(Радио-24);104000000;104000000;FM;192000;50;19595
104.50(Наше-Радио);104000000;104500000;FM;192000;50;19595
105.20(Люкс-FM);105000000;105200000;FM;192000;50;19595
105.70(Любимое-Радио);105000000;105700000;FM;192000;50;19595
106.10(Авто-Радио);106000000;106100000;FM;192000;50;19595
106.60(Бизнес-Радио);106000000;106600000;FM;192000;15;75000
107.00(Эра-FM);106900000;107000000;FM;192000;50;19595
107.40(Радио-YES);107000000;107400000;FM;192000;50;19595
107.90(Радио-Мелодия);107000000;107900000;FM;192000;50;19595
189.750(АТВК)-TV;189000000;189750000;FM;192000;50;19595
205.750()-TV;205000000;205750000;FM;192000;50;19595
221.750()-TV;221000000;221750000;FM;96000;15;15000
477.750()-TV;477000000;477750000;FM;192000;15;75000
517.750()-TV;517000000;517750000;FM;192000;15;75000
533.750()-TV;533000000;533750000;FM;192000;15;75000
565.750()-TV;565000000;565750000;FM;192000;15;75000
597.750()-TV;597000000;597750000;FM;192000;15;75000
645.750()-TV;646000000;645750000;FM;192000;15;75000
725.750()-TV;725000000;725750000;FM;192000;15;75000
789.750()-TV;789000000;789750000;FM;192000;15;75000
;;;;;;
